uncertainty,type,WZG,FakeLep,FakePho,Top,VV,VVV
lumi_18,lnN,1.025,1.025,1.025,1.025,1.025,1.025
JES_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal
JER_18,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal
FakeLep_18,lnN,,1.030,,,,
FakePho_18,lnN,,,1.030,,,
HLT_method_18,lnN,1.005,,,1.005,1.005,1.005
HLT_sta_18,lnN,1.007,,,1.007,1.007,1.007
id_eff_18,lnN,1.001,,,1.001,1.001,1.001
muon_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal
ele_reco,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal
ele_id,lnN,auto_cal,,,auto_cal,auto_cal,auto_cal
WZG_stat_18,lnN,auto_cal,,,,,
FakeLep_stat_18,lnN,,auto_cal,,,,
FakePho_stat_18,lnN,,,auto_cal,,,
Top_stat_18,lnN,,,,auto_cal,,
VV_stat_18,lnN,,,,,auto_cal,
VVV_stat_18,lnN,,,,,,auto_cal
